File;Empitjora_Restarts
NNGR_68x68_01;1
NNGR_60x60_01;1
NNGR_45x45_31;1
NNGR_45x45_19;0
NNGR_77x58_01;0
NNGR_45x40_03;0
NNGR_45x40_06;0
NNGR_35x45_03;1
NNGR_45x45_15;0
NNGR_70x80_01;1
NNGR_75x55_06;1
NNGR_75x55_03;1
NNGR_45x45_24;0
NNGR_75x55_01;1
NNGR_45x45_21;0
NNGR_75x56_01;1
NNGR_65x80_01;0
NNGR_100x75_01;1
NNGR_80x50_01;1
NNGR_40x45_01;1
NNGR_45x45_12;0
NNGR_74x74_01;1
NNGR_58x68_01;0
NNGR_45x80_02;1
NNGR_45x45_26;1
NNGR_65x55_01;1
NNGR_58x58_01;1
NNGR_70x60_01;0
NNGR_55x65_02;0
NNGR_75x50_01;0
NNGR_80x55_05;0
NNGR_80x55_01;0
NNGR_89x71_01;0
NNGR_45x35_02;0
NNGR_75x55_04;1
NNGR_80x70_01;0
NNGR_55x65_01;0
NNGR_45x45_02;0
NNGR_70x70_01;0
NNGR_80x60_03;0
NNGR_75x55_05;0
NNGR_50x75_02;1
NNGR_80x60_01;0
NNGR_90x90_01;1
NNGR_75x75_01;0
NNGR_80x60_02;1
NNGR_75x55_08;1
NNGR_55x75_01;1
NNGR_80x68_01;1
NNGR_80x65_01;0
NNGR_95x70_01;1
NNGR_55x70_01;1
NNGR_75x55_07;1
