Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
RNDNNGR_55x79_01;38.69;0.70;2090;0.80;0.98;18.71;13.43;56.15;0.84
RNDNNGR_56x22_01;28.98;2.55;507;0.70;0.72;4.39;11.86;34.83;0.88
RNDNNGR_57x41_01;11.47;1.39;472;0.57;0.37;4.18;5.71;47.32;0.97
RNDNNGR_57x52_01;44.50;1.10;1508;0.87;1.17;13.26;14.46;43.11;0.79
RNDNNGR_58x10_01;43.97;5.80;293;0.87;1.01;2.59;14.30;26.41;0.75
RNDNNGR_58x20_01;24.74;2.90;446;0.64;0.59;3.88;11.05;35.82;0.91
RNDNNGR_58x33_01;26.33;1.76;739;0.68;0.70;6.34;11.24;41.31;0.91
RNDNNGR_58x50_01;27.69;1.16;1162;0.69;0.69;9.98;11.66;48.87;0.90
RNDNNGR_58x66_01;25.24;0.88;1454;0.66;0.67;12.45;11.09;57.12;0.92
RNDNNGR_59x22_01;26.66;2.68;520;0.67;0.71;4.46;11.68;36.77;0.90
RNDNNGR_59x36_01;15.63;1.64;559;0.59;0.47;4.73;7.78;45.33;0.95
RNDNNGR_59x43_01;22.03;1.37;880;0.64;0.59;7.42;10.28;47.61;0.93
RNDNNGR_59x49_01;42.23;1.20;1443;0.85;1.08;12.19;14.78;43.67;0.81
RNDNNGR_59x63_01;36.64;0.94;1735;0.79;0.96;14.39;14.06;51.87;0.85
RNDNNGR_59x72_01;10.10;0.82;778;0.55;0.35;6.54;5.44;63.88;0.98
RNDNNGR_59x79_01;39.11;0.75;2271;0.80;0.99;19.29;14.34;57.83;0.84
RNDNNGR_60x20_01;46.08;3.00;617;0.90;1.18;5.20;15.25;30.79;0.76
RNDNNGR_60x20_02;24.58;3.00;441;0.67;0.71;3.75;10.80;36.44;0.90
RNDNNGR_60x28_01;47.86;2.14;842;0.95;1.33;7.03;15.00;32.96;0.75
RNDNNGR_60x37_01;47.75;1.62;1094;0.97;1.27;9.17;14.70;36.28;0.75
RNDNNGR_60x67_01;21.00;0.90;1321;0.64;0.57;10.97;9.90;59.60;0.94
RNDNNGR_61x54_01;31.00;1.13;1420;0.72;0.81;11.69;13.09;51.07;0.89
RNDNNGR_61x55_01;25.66;1.11;1276;0.67;0.69;10.39;11.67;53.15;0.92
RNDNNGR_61x63_01;15.56;0.97;1017;0.59;0.45;8.25;8.16;59.55;0.96
RNDNNGR_61x70_01;20.07;0.87;1380;0.62;0.55;11.34;9.83;61.94;0.95
RNDNNGR_62x73_01;29.32;0.85;1913;0.69;0.70;15.35;13.16;60.97;0.90
RNDNNGR_62x76_01;36.16;0.82;2209;0.77;0.90;17.35;14.91;59.18;0.86
RNDNNGR_63x10_01;25.40;6.30;242;0.66;0.63;1.98;11.70;32.91;0.86
RNDNNGR_63x54_01;48.62;1.17;1676;0.99;1.37;13.63;15.13;43.44;0.74
RNDNNGR_63x55_01;33.59;1.15;1533;0.76;0.94;12.11;14.00;51.24;0.87
RNDNNGR_63x61_01;39.94;1.03;1879;0.82;0.98;14.84;15.48;51.39;0.83
RNDNNGR_64x17_01;28.03;3.76;448;0.68;0.69;3.48;13.24;36.37;0.88
RNDNNGR_64x42_01;46.95;1.52;1411;0.89;1.26;10.84;17.07;41.07;0.77
RNDNNGR_64x47_01;11.47;1.36;612;0.56;0.38;4.72;6.60;53.79;0.97
RNDNNGR_64x77_01;10.33;0.83;923;0.55;0.35;7.27;5.95;68.83;0.98
RNDNNGR_65x68_01;16.95;0.96;1236;0.61;0.50;9.49;9.10;63.53;0.96
RNDNNGR_66x47_01;16.76;1.40;872;0.60;0.46;6.36;9.62;54.02;0.95
RNDNNGR_66x56_01;45.83;1.18;1851;0.92;1.24;14.11;16.43;47.31;0.78
RNDNNGR_66x63_01;34.51;1.05;1917;0.75;0.88;14.15;15.60;56.12;0.87
RNDNNGR_66x72_01;18.48;0.92;1431;0.61;0.54;10.89;9.89;65.64;0.95
RNDNNGR_67x15_01;33.83;4.47;454;0.75;0.84;3.51;14.60;35.18;0.85
RNDNNGR_67x30_01;11.24;2.23;407;0.56;0.37;3.06;6.73;46.05;0.93
RNDNNGR_67x33_01;13.98;2.03;533;0.58;0.41;4.00;8.03;48.03;0.96
RNDNNGR_67x57_01;49.33;1.18;1945;0.97;1.38;14.39;17.21;46.21;0.75
RNDNNGR_67x61_01;12.38;1.10;901;0.56;0.38;6.64;7.48;62.13;0.97
RNDNNGR_67x63_01;45.25;1.06;2111;0.90;1.24;15.81;16.70;50.84;0.78
RNDNNGR_67x76_01;41.44;0.88;2485;0.85;1.13;18.79;16.13;58.33;0.82
RNDNNGR_68x27_01;10.84;2.52;358;0.56;0.39;2.68;6.52;45.35;0.94
RNDNNGR_69x10_01;41.30;6.90;357;0.80;0.94;2.71;17.00;32.04;0.79
RNDNNGR_69x40_01;11.78;1.73;581;0.56;0.33;4.25;7.20;52.81;0.97
RNDNNGR_69x51_01;14.75;1.35;886;0.59;0.45;6.46;8.63;57.70;0.96
RNDNNGR_69x68_01;18.97;1.01;1456;0.61;0.54;10.49;10.76;65.14;0.95
RNDNNGR_70x27_01;28.99;2.59;782;0.70;0.76;5.61;14.41;43.45;0.89
RNDNNGR_70x54_01;14.34;1.30;909;0.60;0.48;6.53;8.37;59.56;0.96
RNDNNGR_70x55_01;49.92;1.27;1929;1.00;1.39;13.89;17.40;45.94;0.74
RNDNNGR_71x17_01;13.84;4.18;295;0.57;0.45;2.11;8.53;41.51;0.91
RNDNNGR_71x60_01;21.01;1.18;1406;0.64;0.59;9.82;11.82;61.56;0.94
RNDNNGR_71x67_01;47.09;1.06;2389;0.94;1.30;16.86;17.79;52.83;0.77
RNDNNGR_71x71_01;15.33;1.00;1327;0.58;0.45;9.37;9.32;68.46;0.96
RNDNNGR_72x22_01;25.57;3.27;628;0.64;0.59;4.31;14.45;43.36;0.91
RNDNNGR_72x58_01;27.18;1.24;1656;0.69;0.72;11.67;14.07;59.20;0.91
RNDNNGR_73x20_01;36.37;3.65;695;0.76;0.89;4.67;17.70;39.77;0.84
RNDNNGR_73x32_01;21.92;2.28;830;0.62;0.52;5.79;12.72;49.25;0.94
RNDNNGR_73x53_01;41.85;1.38;1950;0.83;0.99;13.36;18.40;51.51;0.82
RNDNNGR_73x62_01;21.92;1.18;1553;0.64;0.57;10.63;12.53;63.29;0.94
RNDNNGR_73x79_01;45.73;0.92;2897;0.91;1.20;19.79;18.38;59.34;0.78
RNDNNGR_74x31_01;34.05;2.39;1025;0.76;0.91;6.91;16.58;45.37;0.86
RNDNNGR_74x35_01;32.59;2.11;1158;0.73;0.77;7.82;16.54;47.92;0.88
RNDNNGR_74x40_01;49.05;1.85;1537;0.94;1.23;10.47;19.05;42.80;0.75
RNDNNGR_74x54_01;10.64;1.37;751;0.57;0.38;5.01;7.04;61.85;0.96
RNDNNGR_74x57_01;49.03;1.30;2176;0.95;1.27;14.81;18.95;49.27;0.75
RNDNNGR_74x69_01;36.86;1.07;2444;0.77;0.92;16.86;17.33;61.25;0.86
RNDNNGR_74x70_01;21.16;1.06;1753;0.63;0.53;11.72;12.66;67.95;0.94
RNDNNGR_74x78_01;44.21;0.95;2880;0.89;1.15;19.68;18.26;60.36;0.79
RNDNNGR_75x40_01;48.20;1.88;1503;0.96;1.36;10.09;18.65;43.16;0.75
RNDNNGR_75x52_01;50.00;1.44;1950;1.00;1.42;13.11;18.60;46.60;0.73
RNDNNGR_75x53_01;10.67;1.42;765;0.55;0.35;5.15;7.15;61.97;0.97
RNDNNGR_75x70_01;14.32;1.07;1282;0.59;0.46;8.37;9.34;69.97;0.97
RNDNNGR_76x19_01;12.05;4.00;324;0.54;0.38;2.16;8.42;45.19;0.91
RNDNNGR_76x29_01;47.14;2.62;1127;0.92;1.27;7.55;19.07;40.06;0.76
RNDNNGR_76x34_01;35.76;2.24;1200;0.77;0.91;7.91;17.62;47.10;0.85
RNDNNGR_76x36_01;35.53;2.11;1255;0.77;0.92;8.29;17.36;47.93;0.85
RNDNNGR_76x50_01;18.18;1.52;1187;0.58;0.45;7.78;11.92;60.39;0.96
RNDNNGR_77x20_01;48.90;3.85;791;0.95;1.32;5.34;19.00;35.95;0.74
RNDNNGR_78x24_01;45.35;3.25;928;0.91;1.31;5.86;19.62;39.61;0.77
RNDNNGR_78x30_01;27.95;2.60;973;0.67;0.71;6.38;15.83;49.02;0.91
RNDNNGR_78x45_01;32.31;1.73;1533;0.74;0.82;9.88;16.93;54.04;0.88
RNDNNGR_79x35_01;14.07;2.26;682;0.57;0.40;4.25;9.89;55.05;0.96
RNDNNGR_79x48_01;47.63;1.65;1925;0.94;1.31;12.20;20.02;48.37;0.76
RNDNNGR_79x68_01;36.11;1.16;2515;0.77;0.94;15.63;18.82;63.19;0.86
RNDNNGR_80x37_01;32.57;2.16;1324;0.73;0.83;8.34;17.76;51.50;0.88
RNDNNGR_80x38_01;35.00;2.11;1375;0.77;0.91;8.68;17.92;50.65;0.86
RNDNNGR_80x50_01;22.93;1.60;1409;0.65;0.62;8.79;14.12;60.55;0.93
RNDNNGR_80x57_01;41.64;1.40;2223;0.85;1.11;13.97;19.39;55.65;0.81
RNDNNGR_80x80_01;55.30;1.00;3218;1.10;1.61;20.02;20.20;54.88;0.69
RNDNNGR_80x80_02;43.97;1.00;3209;0.88;1.15;20.10;20.01;63.88;0.80
