Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
NNGR_45x45_15;44.94;1.00;572;1.59;2.55;5.96;6.76;30.13;0.67
NNGR_45x45_16;54.96;1.00;559;1.99;3.76;6.20;6.22;25.48;0.57
NNGR_45x45_17;56.44;1.00;639;1.79;3.33;4.80;9.40;25.70;0.57
NNGR_45x45_18;50.37;1.00;626;1.63;2.97;6.36;7.56;28.29;0.63
NNGR_45x45_19;48.89;1.00;645;1.53;2.77;7.76;6.58;29.17;0.65
NNGR_45x45_20;37.68;1.00;563;1.36;2.08;6.16;6.36;33.30;0.74
NNGR_45x45_21;41.14;1.00;582;1.43;2.33;6.69;6.24;31.96;0.71
NNGR_45x45_22;44.05;1.00;550;1.62;2.65;6.31;5.91;30.29;0.67
NNGR_45x45_23;46.72;1.00;489;1.93;3.12;5.60;5.27;28.41;0.63
NNGR_45x45_24;44.15;1.00;489;1.83;2.93;5.44;5.42;29.57;0.66
NNGR_45x45_25;37.48;1.00;555;1.37;2.17;7.09;5.24;33.30;0.74
NNGR_45x45_26;41.83;1.00;427;1.98;3.03;4.82;4.67;29.92;0.66
NNGR_45x45_27;42.37;1.00;537;1.60;2.57;6.04;5.89;30.90;0.69
NNGR_45x45_28;50.96;1.00;604;1.71;3.14;6.49;6.93;27.78;0.62
NNGR_45x45_29;48.79;1.00;645;1.53;2.84;7.13;7.20;29.21;0.65
NNGR_45x45_30;59.36;1.00;608;1.98;4.91;7.04;6.47;24.04;0.53
NNGR_45x45_31;33.63;1.00;499;1.36;2.19;4.82;6.27;34.41;0.76
NNGR_45x80_02;50.81;0.56;949;1.93;4.77;8.18;7.26;37.47;0.61
NNGR_50x40_01;60.40;1.25;690;1.75;4.22;7.58;7.78;24.50;0.55
NNGR_50x40_02;64.35;1.25;566;2.27;5.69;6.52;6.00;21.30;0.48
NNGR_50x50_01;57.64;1.00;506;2.85;5.22;4.78;5.34;25.24;0.50
NNGR_50x70_01;67.26;0.71;737;3.19;7.62;7.12;5.44;24.93;0.42
NNGR_50x75_01;52.61;0.67;209;9.44;14.77;1.90;1.52;30.33;0.49
NNGR_50x75_02;39.25;0.67;728;2.02;3.91;8.00;4.37;43.15;0.69
NNGR_53x45_01;54.26;1.18;258;5.02;8.70;2.40;2.91;24.07;0.49
NNGR_55x65_01;38.60;0.85;924;1.49;2.60;8.00;7.45;43.56;0.73
NNGR_55x65_02;54.01;0.85;1209;1.60;4.11;10.65;9.58;36.71;0.61
NNGR_55x70_01;54.00;0.79;1081;1.92;3.68;8.62;8.67;36.39;0.58
NNGR_55x75_01;50.57;0.73;1127;1.85;3.91;11.04;6.93;40.11;0.62
NNGR_56x55_01;65.52;1.02;788;2.56;5.50;8.41;5.76;25.22;0.45
NNGR_57x57_01;51.12;1.00;1266;1.31;6.19;10.96;11.25;37.96;0.67
NNGR_58x58_01;40.46;1.00;408;3.34;5.58;3.17;3.86;37.05;0.64
NNGR_58x68_01;58.04;0.85;1341;1.71;3.48;12.52;9.04;36.22;0.57
NNGR_60x60_01;56.25;1.00;869;2.33;4.81;8.03;6.45;32.49;0.54
NNGR_61x66_01;72.28;0.92;905;3.22;9.54;6.85;7.38;23.72;0.37
NNGR_65x45_01;59.32;1.44;302;5.75;11.17;2.03;3.78;24.28;0.44
NNGR_65x45_02;51.01;1.44;368;4.05;8.35;2.82;4.11;29.41;0.53
NNGR_65x45_03;54.05;1.44;325;4.86;8.72;2.48;3.64;27.33;0.50
NNGR_65x55_01;46.91;1.18;719;2.33;4.96;5.09;7.05;36.93;0.61
NNGR_65x60_01;68.90;1.08;1100;2.44;5.79;8.74;8.87;27.24;0.44
NNGR_65x65_01;46.82;1.00;544;3.64;8.22;4.58;3.78;37.75;0.58
NNGR_65x80_01;54.12;0.81;958;2.94;7.61;5.83;7.24;38.80;0.54
NNGR_66x50_01;48.06;1.32;278;5.71;10.97;2.05;2.86;31.58;0.54
NNGR_66x56_01;43.40;1.18;615;2.61;6.66;4.64;5.52;38.60;0.63
NNGR_68x49_01;67.83;1.39;753;3.00;6.06;5.93;7.14;24.36;0.42
NNGR_68x68_01;64.75;1.00;1005;2.98;7.18;8.06;6.72;30.36;0.45
NNGR_70x45_01;54.60;1.56;648;2.65;6.83;5.74;5.47;30.71;0.54
NNGR_70x60_01;55.67;1.17;868;2.69;5.53;6.53;6.85;34.51;0.53
NNGR_70x70_01;46.61;1.00;1033;2.21;4.72;7.63;7.13;43.75;0.62
NNGR_70x80_01;39.96;0.88;1167;1.92;6.93;6.94;8.51;51.75;0.69
NNGR_74x74_01;61.94;1.00;1032;3.29;7.24;6.81;7.14;34.14;0.46
NNGR_75x50_01;50.11;1.50;853;2.20;4.66;6.08;7.94;37.19;0.60
NNGR_75x55_01;65.77;1.36;873;3.11;6.89;6.17;7.45;28.06;0.43
NNGR_75x55_02;61.75;1.36;1133;2.25;5.30;7.25;10.71;32.85;0.50
NNGR_75x55_03;46.35;1.36;698;2.74;5.87;4.81;6.13;39.34;0.61
NNGR_75x55_04;47.76;1.36;780;2.53;6.07;5.36;6.87;39.07;0.60
NNGR_75x55_05;49.45;1.36;1008;2.02;4.14;6.44;9.55;39.85;0.61
NNGR_75x55_06;57.55;1.36;725;3.27;5.53;5.55;5.62;32.17;0.50
NNGR_75x55_07;52.44;1.36;733;2.95;5.70;5.24;6.18;35.63;0.55
NNGR_75x55_08;50.06;1.36;1211;1.71;2.87;7.69;11.53;41.07;0.63
NNGR_75x56_01;39.95;1.34;713;2.35;4.68;4.75;6.38;43.89;0.67
NNGR_75x75_01;53.76;1.00;1205;2.51;5.46;7.76;8.31;41.71;0.56
NNGR_77x58_01;40.98;1.33;619;2.96;6.26;4.10;5.22;43.51;0.64
NNGR_78x49_01;63.81;1.59;830;2.94;6.60;6.76;6.18;28.45;0.45
NNGR_79x51_01;50.48;1.55;427;4.76;7.79;3.04;3.67;34.54;0.53
NNGR_80x48_01;43.93;1.67;375;4.50;5.68;2.79;3.17;37.86;0.59
NNGR_80x50_01;57.10;1.60;1257;1.82;3.14;8.14;12.12;37.01;0.57
NNGR_80x55_01;48.55;1.45;1234;1.73;3.13;7.46;11.58;43.25;0.64
NNGR_80x55_05;55.86;1.45;1342;1.83;3.45;8.16;12.53;39.14;0.58
NNGR_80x60_01;57.04;1.33;1294;2.12;5.23;9.00;9.57;38.35;0.55
